"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 17 16:02:30 UTC 2024","Sun Nov 17 16:03:11 UTC 2024","41805","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:40:57 UTC 2024","Sun Nov 17 15:41:50 UTC 2024","52938","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:45:10 UTC 2024","Sun Nov 17 15:45:54 UTC 2024","43820","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:42:18 UTC 2024","Sun Nov 17 15:43:12 UTC 2024","53260","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:46:55 UTC 2024","Sun Nov 17 15:47:46 UTC 2024","50778","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:35:47 UTC 2024","Sun Nov 17 15:36:33 UTC 2024","45295","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:58:09 UTC 2024","Sun Nov 17 15:59:06 UTC 2024","57380","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:06:53 UTC 2024","Sun Nov 17 16:07:49 UTC 2024","55470","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:09:44 UTC 2024","Sun Nov 17 16:10:42 UTC 2024","58746","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:03:50 UTC 2024","Sun Nov 17 16:03:54 UTC 2024","3736","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:37:42 UTC 2024","Sun Nov 17 15:38:41 UTC 2024","58314","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:41:55 UTC 2024","Sun Nov 17 15:42:48 UTC 2024","52631","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:44:20 UTC 2024","Sun Nov 17 15:45:03 UTC 2024","43003","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:47:46 UTC 2024","Sun Nov 17 15:48:24 UTC 2024","37854","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:44:12 UTC 2024","Sun Nov 17 15:45:09 UTC 2024","57102","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:09:56 UTC 2024","Sun Nov 17 16:10:40 UTC 2024","44253","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:53:21 UTC 2024","Sun Nov 17 15:54:00 UTC 2024","38923","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:04:00 UTC 2024","Sun Nov 17 16:04:54 UTC 2024","54202","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:45:57 UTC 2024","Sun Nov 17 15:46:47 UTC 2024","50260","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:49:33 UTC 2024","Sun Nov 17 15:50:22 UTC 2024","48066","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:47:06 UTC 2024","Sun Nov 17 15:47:44 UTC 2024","37870","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:03:01 UTC 2024","Sun Nov 17 16:03:44 UTC 2024","43096","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:50:31 UTC 2024","Sun Nov 17 15:51:29 UTC 2024","58391","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:48:06 UTC 2024","Sun Nov 17 15:49:02 UTC 2024","56261","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:59:17 UTC 2024","Sun Nov 17 16:00:03 UTC 2024","45990","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:41:27 UTC 2024","Sun Nov 17 15:42:11 UTC 2024","44238","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin partial refund options - chromium",""
"broken","Sun Nov 17 15:34:47 UTC 2024","Sun Nov 17 15:35:41 UTC 2024","54234","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:37:55 UTC 2024","Sun Nov 17 15:38:43 UTC 2024","48347","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin create payment link - chromium",""
"broken","Sun Nov 17 15:52:42 UTC 2024","Sun Nov 17 15:53:40 UTC 2024","57984","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:10:47 UTC 2024","Sun Nov 17 16:11:27 UTC 2024","39996","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:07:56 UTC 2024","Sun Nov 17 16:08:40 UTC 2024","43981","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:39:58 UTC 2024","Sun Nov 17 15:40:50 UTC 2024","52485","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:56:57 UTC 2024","Sun Nov 17 15:57:30 UTC 2024","32998","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:47:56 UTC 2024","Sun Nov 17 15:48:03 UTC 2024","7297","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:56:12 UTC 2024","Sun Nov 17 15:57:05 UTC 2024","53064","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:43:33 UTC 2024","Sun Nov 17 15:44:07 UTC 2024","33312","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:36:43 UTC 2024","Sun Nov 17 15:37:38 UTC 2024","54936","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:57:11 UTC 2024","Sun Nov 17 15:58:03 UTC 2024","51198","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:42:54 UTC 2024","Sun Nov 17 15:43:27 UTC 2024","33407","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:42:13 UTC 2024","Sun Nov 17 15:42:13 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:59:16 UTC 2024","Sun Nov 17 16:00:09 UTC 2024","52495","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:39:47 UTC 2024","Sun Nov 17 15:40:31 UTC 2024","43991","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin full refund options - chromium",""
"broken","Sun Nov 17 16:03:18 UTC 2024","Sun Nov 17 16:04:00 UTC 2024","42096","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:43:18 UTC 2024","Sun Nov 17 15:44:14 UTC 2024","56052","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:50:14 UTC 2024","Sun Nov 17 15:51:11 UTC 2024","56628","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:04:07 UTC 2024","Sun Nov 17 16:05:01 UTC 2024","53505","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:34:43 UTC 2024","Sun Nov 17 15:35:43 UTC 2024","59696","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin create payment link - chromium",""
"broken","Sun Nov 17 16:00:16 UTC 2024","Sun Nov 17 16:01:16 UTC 2024","59494","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:02:13 UTC 2024","Sun Nov 17 16:02:56 UTC 2024","42230","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 16:07:00 UTC 2024","Sun Nov 17 16:07:33 UTC 2024","32702","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:08:47 UTC 2024","Sun Nov 17 16:09:47 UTC 2024","60145","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:57:36 UTC 2024","Sun Nov 17 15:58:09 UTC 2024","32574","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:00:10 UTC 2024","Sun Nov 17 16:01:08 UTC 2024","58265","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:49:08 UTC 2024","Sun Nov 17 15:50:09 UTC 2024","61038","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:05:08 UTC 2024","Sun Nov 17 16:06:08 UTC 2024","60127","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:01:14 UTC 2024","Sun Nov 17 16:02:08 UTC 2024","54077","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:07:38 UTC 2024","Sun Nov 17 16:08:36 UTC 2024","57605","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:06:15 UTC 2024","Sun Nov 17 16:06:48 UTC 2024","33490","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:42:13 UTC 2024","Sun Nov 17 15:42:13 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:36:37 UTC 2024","Sun Nov 17 15:36:39 UTC 2024","2722","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:55:58 UTC 2024","Sun Nov 17 15:56:47 UTC 2024","49356","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:55:13 UTC 2024","Sun Nov 17 15:56:04 UTC 2024","50689","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:42:13 UTC 2024","Sun Nov 17 15:42:13 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:38:57 UTC 2024","Sun Nov 17 15:39:41 UTC 2024","43532","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin full refund options - chromium",""
"broken","Sun Nov 17 15:45:17 UTC 2024","Sun Nov 17 15:46:01 UTC 2024","44199","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"skipped","Sun Nov 17 15:34:40 UTC 2024","Sun Nov 17 15:34:40 UTC 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view - chromium",""
"broken","Sun Nov 17 15:36:55 UTC 2024","Sun Nov 17 15:37:43 UTC 2024","48385","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin create payment link - chromium",""
"broken","Sun Nov 17 16:01:23 UTC 2024","Sun Nov 17 16:02:20 UTC 2024","56565","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:58:15 UTC 2024","Sun Nov 17 15:59:11 UTC 2024","55571","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:46:09 UTC 2024","Sun Nov 17 15:47:01 UTC 2024","52428","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:38:46 UTC 2024","Sun Nov 17 15:39:50 UTC 2024","64634","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:54:59 UTC 2024","Sun Nov 17 15:55:50 UTC 2024","51388","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:52:17 UTC 2024","Sun Nov 17 15:53:14 UTC 2024","56908","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:54:07 UTC 2024","Sun Nov 17 15:54:53 UTC 2024","46016","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:35:53 UTC 2024","Sun Nov 17 15:36:44 UTC 2024","50964","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin create payment link - chromium",""
"broken","Sun Nov 17 15:51:16 UTC 2024","Sun Nov 17 15:52:12 UTC 2024","56179","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:40:37 UTC 2024","Sun Nov 17 15:41:21 UTC 2024","43833","tests","test_admin_link_generation","TestAdminLinkGeneration","","","Admin partial refund options - chromium",""
"broken","Sun Nov 17 15:48:28 UTC 2024","Sun Nov 17 15:49:24 UTC 2024","56440","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:05:00 UTC 2024","Sun Nov 17 16:05:54 UTC 2024","54774","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:51:38 UTC 2024","Sun Nov 17 15:52:32 UTC 2024","53977","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:08:42 UTC 2024","Sun Nov 17 16:09:38 UTC 2024","56018","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:53:48 UTC 2024","Sun Nov 17 15:54:50 UTC 2024","62017","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 16:06:01 UTC 2024","Sun Nov 17 16:06:53 UTC 2024","52308","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","QR type - chromium",""
"broken","Sun Nov 17 15:55:01 UTC 2024","Sun Nov 17 15:55:05 UTC 2024","4867","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","QR type - chromium",""
